point_id,canonical_x_px,canonical_y_px,board_x_mm,board_y_mm,role
c0_r0,REPLACE,REPLACE,45,45,held_out
c1_r0,REPLACE,REPLACE,135,45,fit
c2_r0,REPLACE,REPLACE,225,45,fit
c3_r0,REPLACE,REPLACE,315,45,fit
c4_r0,REPLACE,REPLACE,405,45,fit
c5_r0,REPLACE,REPLACE,495,45,held_out
c6_r0,REPLACE,REPLACE,585,45,fit
c7_r0,REPLACE,REPLACE,675,45,fit
c0_r1,REPLACE,REPLACE,45,135,fit
c1_r1,REPLACE,REPLACE,135,135,fit
c2_r1,REPLACE,REPLACE,225,135,fit
c3_r1,REPLACE,REPLACE,315,135,held_out
c4_r1,REPLACE,REPLACE,405,135,fit
c5_r1,REPLACE,REPLACE,495,135,fit
c6_r1,REPLACE,REPLACE,585,135,fit
c7_r1,REPLACE,REPLACE,675,135,fit
c0_r2,REPLACE,REPLACE,45,225,fit
c1_r2,REPLACE,REPLACE,135,225,held_out
c2_r2,REPLACE,REPLACE,225,225,fit
c3_r2,REPLACE,REPLACE,315,225,fit
c4_r2,REPLACE,REPLACE,405,225,fit
c5_r2,REPLACE,REPLACE,495,225,fit
c6_r2,REPLACE,REPLACE,585,225,held_out
c7_r2,REPLACE,REPLACE,675,225,fit
c0_r3,REPLACE,REPLACE,45,315,fit
c1_r3,REPLACE,REPLACE,135,315,fit
c2_r3,REPLACE,REPLACE,225,315,fit
c3_r3,REPLACE,REPLACE,315,315,fit
c4_r3,REPLACE,REPLACE,405,315,held_out
c5_r3,REPLACE,REPLACE,495,315,fit
c6_r3,REPLACE,REPLACE,585,315,fit
c7_r3,REPLACE,REPLACE,675,315,fit
c0_r4,REPLACE,REPLACE,45,405,fit
c1_r4,REPLACE,REPLACE,135,405,fit
c2_r4,REPLACE,REPLACE,225,405,held_out
c3_r4,REPLACE,REPLACE,315,405,fit
c4_r4,REPLACE,REPLACE,405,405,fit
c5_r4,REPLACE,REPLACE,495,405,fit
c6_r4,REPLACE,REPLACE,585,405,fit
c7_r4,REPLACE,REPLACE,675,405,held_out
c0_r5,REPLACE,REPLACE,45,495,held_out
c1_r5,REPLACE,REPLACE,135,495,fit
c2_r5,REPLACE,REPLACE,225,495,fit
c3_r5,REPLACE,REPLACE,315,495,fit
c4_r5,REPLACE,REPLACE,405,495,fit
c5_r5,REPLACE,REPLACE,495,495,held_out
c6_r5,REPLACE,REPLACE,585,495,fit
c7_r5,REPLACE,REPLACE,675,495,fit
c0_r6,REPLACE,REPLACE,45,585,fit
c1_r6,REPLACE,REPLACE,135,585,fit
c2_r6,REPLACE,REPLACE,225,585,fit
c3_r6,REPLACE,REPLACE,315,585,held_out
c4_r6,REPLACE,REPLACE,405,585,fit
c5_r6,REPLACE,REPLACE,495,585,fit
c6_r6,REPLACE,REPLACE,585,585,fit
c7_r6,REPLACE,REPLACE,675,585,fit
c0_r7,REPLACE,REPLACE,45,675,fit
c1_r7,REPLACE,REPLACE,135,675,held_out
c2_r7,REPLACE,REPLACE,225,675,fit
c3_r7,REPLACE,REPLACE,315,675,fit
c4_r7,REPLACE,REPLACE,405,675,fit
c5_r7,REPLACE,REPLACE,495,675,fit
c6_r7,REPLACE,REPLACE,585,675,held_out
c7_r7,REPLACE,REPLACE,675,675,fit
